school,age,address,Pstatus,guardian,studytime,failures,schoolsup,famsup,internet,romantic,famrel,freetime,goout,G1
GP,16,R,T,mother,1,0,no,yes,yes,yes,4,3,3,10
GP,17,U,T,mother,2,0,no,yes,yes,yes,5,2,3,11
GP,16,U,T,mother,2,0,no,yes,yes,no,3,4,3,11
GP,16,U,T,mother,2,0,no,no,yes,yes,4,2,3,11
GP,17,U,T,father,2,0,no,yes,no,no,5,4,2,17
GP,17,U,T,mother,2,0,no,yes,yes,yes,5,3,3,14
GP,16,U,T,mother,2,0,no,yes,yes,no,1,2,2,14
GP,17,U,T,mother,2,0,no,yes,yes,yes,4,3,4,11
GP,16,U,T,mother,1,0,no,yes,yes,yes,3,3,3,10
GP,16,U,T,mother,2,0,no,no,yes,yes,4,2,3,13
GP,17,U,A,mother,2,0,no,yes,yes,yes,3,3,3,12
GP,17,R,T,mother,2,0,no,no,no,no,3,1,3,9
GP,16,U,T,mother,2,0,no,no,yes,no,4,3,3,12
GP,17,U,T,mother,2,0,no,no,yes,no,5,3,3,12
GP,17,U,T,other,2,0,no,no,yes,no,4,4,4,10
GP,16,R,T,mother,1,0,no,yes,yes,no,4,3,2,11
GP,16,U,T,father,1,0,no,no,yes,no,5,3,3,13
GP,17,U,T,father,2,0,no,no,yes,yes,4,3,2,14
GP,17,U,T,mother,1,0,no,no,yes,no,5,2,3,13
GP,16,R,T,father,1,0,no,yes,yes,no,3,3,4,10
GP,17,U,T,mother,1,1,no,yes,yes,no,4,2,4,14
GP,16,U,T,mother,2,0,no,yes,yes,no,4,5,2,11
GP,16,U,T,mother,2,0,no,yes,yes,no,4,3,5,14
GP,16,U,T,mother,2,0,yes,yes,no,no,4,4,3,11
GP,17,U,T,mother,2,0,no,yes,no,no,4,4,4,14
GP,17,R,T,mother,1,0,no,yes,yes,no,5,3,2,13
GP,16,R,T,mother,4,0,no,yes,yes,no,5,3,5,13
GP,17,U,T,mother,3,1,no,yes,yes,yes,4,4,3,8
GP,16,U,A,mother,2,0,no,yes,yes,no,2,3,3,11
GP,16,U,T,mother,2,0,no,no,yes,yes,1,3,2,14
GP,16,U,T,mother,1,0,no,yes,no,no,4,3,2,12
GP,17,R,T,mother,3,0,no,yes,yes,yes,4,4,2,11
GP,19,U,T,other,4,0,no,yes,yes,no,4,3,3,12
GP,17,U,T,mother,2,0,no,yes,yes,yes,5,3,5,13
GP,16,U,A,mother,2,0,yes,yes,yes,no,3,3,4,13
GP,18,U,T,mother,2,0,no,yes,yes,no,4,4,4,12
GP,17,R,T,mother,1,0,no,yes,no,no,5,2,1,12
GP,17,U,T,mother,2,0,no,no,yes,no,4,4,4,14
GP,17,U,T,mother,2,0,no,no,yes,yes,3,4,5,11
GP,18,U,T,father,2,0,no,yes,yes,no,3,2,4,10
GP,17,U,T,father,1,0,no,yes,no,no,3,3,3,12
GP,17,U,T,mother,3,0,no,yes,yes,no,4,3,3,12
GP,17,R,T,mother,2,0,no,yes,yes,no,4,2,5,11
GP,17,U,T,mother,3,0,no,yes,no,yes,4,3,4,12
GP,16,U,T,mother,2,0,yes,no,yes,no,2,3,1,13
GP,18,U,T,mother,2,3,no,yes,yes,no,3,3,3,10
GP,16,U,T,mother,3,0,no,yes,yes,no,5,3,2,15
GP,18,R,T,mother,2,0,no,no,yes,yes,5,3,3,8
GP,17,U,T,mother,2,0,no,no,yes,no,5,3,4,17
GP,17,U,T,father,2,0,no,yes,yes,no,5,3,3,10
GP,18,U,T,mother,2,0,yes,yes,yes,yes,4,3,2,9
GP,17,U,A,mother,3,0,no,no,yes,yes,3,2,3,15
GP,17,U,T,father,2,0,no,no,yes,yes,3,2,3,14
GP,17,R,T,father,2,0,no,yes,yes,no,4,5,2,12
GP,17,U,T,mother,2,0,yes,yes,yes,yes,4,5,5,13
GP,16,U,T,father,2,0,no,yes,yes,no,4,2,4,13
GP,16,U,T,mother,2,0,no,yes,yes,no,3,4,2,9
GP,16,U,T,mother,3,0,no,no,yes,yes,5,3,3,12
GP,17,U,T,father,2,0,no,no,yes,yes,4,4,2,16
GP,16,U,T,mother,1,0,no,no,yes,yes,4,5,2,9
GP,16,U,A,mother,2,0,no,no,yes,yes,5,3,3,14
GP,18,U,A,mother,2,1,no,yes,yes,no,4,3,3,10
GP,18,U,T,mother,2,1,no,yes,yes,yes,5,3,1,9
GP,18,U,T,mother,1,1,no,no,yes,no,4,1,1,8
GP,18,U,T,other,1,1,no,yes,yes,yes,4,4,3,7
GP,17,U,T,mother,1,0,no,yes,yes,no,4,2,1,10
GP,17,U,T,father,2,0,no,no,no,no,5,4,2,14
GP,17,U,T,mother,3,0,no,yes,yes,yes,4,3,2,11
GP,16,U,T,mother,1,0,no,no,yes,no,5,3,5,12
GP,17,R,T,mother,2,0,no,no,no,no,2,1,1,13
GP,17,R,A,other,1,1,no,yes,yes,no,5,5,4,9
GP,18,U,T,father,2,0,no,no,yes,no,5,5,4,8
GP,17,U,A,mother,1,1,no,yes,yes,no,3,1,2,11
GP,17,R,T,mother,3,0,no,no,yes,no,4,3,3,15
GP,17,U,A,mother,2,0,no,yes,no,no,4,3,2,15
GP,17,U,T,mother,2,0,no,no,yes,yes,2,5,5,15
GP,17,R,A,mother,2,0,no,yes,yes,no,3,3,3,12
GP,16,U,T,mother,1,0,no,no,yes,no,5,4,5,14
GP,16,U,T,mother,1,0,no,no,yes,no,5,3,2,14
GP,17,U,T,mother,2,0,no,yes,yes,yes,5,3,1,11
GP,17,R,T,father,3,0,no,no,yes,yes,4,3,3,13
GP,17,U,T,mother,3,0,no,yes,yes,yes,4,2,2,11
GP,17,U,T,mother,2,0,yes,no,no,yes,4,3,2,10
GP,18,U,T,other,3,0,no,yes,yes,yes,4,4,4,12
GP,16,U,T,mother,1,0,no,no,yes,no,4,3,3,15
GP,17,U,T,father,2,0,no,yes,no,no,4,3,4,11
GP,17,U,T,father,1,0,no,no,yes,no,5,2,2,9
GP,22,U,T,mother,1,3,no,no,yes,yes,5,4,5,7
GP,18,R,T,mother,2,0,no,yes,yes,yes,4,3,3,10
GP,16,U,T,mother,1,0,no,no,yes,no,4,3,2,11
GP,18,U,T,mother,1,0,no,no,yes,no,4,4,5,7
GP,16,U,T,other,2,1,yes,yes,yes,no,5,3,3,9
GP,18,U,T,mother,1,2,no,no,yes,no,3,2,5,7
GP,16,R,T,mother,1,0,no,no,no,no,3,3,2,14
GP,17,R,T,mother,1,0,no,no,yes,no,4,4,2,12
GP,17,U,T,mother,1,1,no,yes,yes,no,4,4,4,9
GP,18,U,A,mother,2,0,no,yes,yes,yes,4,3,4,12
GP,17,U,T,mother,4,0,no,yes,yes,no,4,2,3,14
GP,19,U,T,mother,2,0,no,yes,yes,no,4,3,3,10
GP,18,U,T,mother,2,1,no,no,yes,no,4,4,5,11
GP,17,R,T,mother,3,0,no,yes,yes,no,4,3,4,11
GP,18,U,T,mother,3,0,no,yes,no,no,4,4,3,11
GP,18,R,T,mother,2,0,yes,no,no,no,3,2,3,11
GP,19,U,A,mother,2,0,no,yes,yes,no,4,3,1,11
GP,18,U,T,mother,2,0,no,no,yes,no,5,2,4,16
GP,17,R,T,mother,1,0,no,no,no,no,5,2,2,9
GP,17,U,T,father,4,0,no,no,yes,yes,3,4,1,10
GP,20,R,T,other,2,0,no,yes,yes,yes,1,2,3,10
GP,18,U,T,father,2,0,no,yes,yes,yes,3,1,2,15
GP,18,U,T,mother,2,0,no,yes,yes,no,4,3,2,10
GP,18,R,T,mother,3,0,no,no,no,no,5,3,2,10
GP,17,U,T,mother,3,0,no,no,no,no,3,2,3,15
GP,18,U,T,mother,3,0,no,yes,yes,yes,4,3,3,11
GP,17,U,T,father,1,0,no,no,yes,no,4,4,4,8
GP,18,R,A,mother,2,0,no,yes,yes,no,4,2,5,15
GP,17,U,T,mother,2,0,no,no,yes,yes,5,4,4,11
GP,18,R,T,mother,2,0,no,no,yes,no,4,3,4,10
GP,18,U,T,father,2,0,no,yes,yes,yes,5,4,5,10
GP,18,R,T,mother,2,0,no,yes,yes,yes,4,3,5,8
GP,19,U,T,other,2,0,no,yes,yes,no,4,3,5,11
GP,18,U,T,father,4,0,no,yes,yes,yes,4,5,5,16
GP,18,U,T,mother,2,0,no,yes,no,no,4,4,3,13
GP,17,R,T,mother,2,0,no,yes,no,yes,3,5,2,16
GP,18,U,T,mother,2,0,no,yes,yes,yes,4,2,5,14
GP,17,U,T,mother,2,0,no,yes,yes,yes,4,3,3,15
GP,17,U,T,mother,2,0,yes,yes,yes,yes,4,4,4,12
GP,18,R,A,mother,2,0,no,no,yes,yes,4,1,1,12
GP,18,U,T,mother,1,0,no,no,yes,no,3,2,4,11
GP,18,U,T,father,2,1,yes,yes,yes,yes,2,4,4,14
GP,17,U,T,father,3,0,no,yes,yes,yes,4,2,3,13
GP,19,R,T,father,2,1,yes,yes,yes,no,3,3,3,9
GP,18,U,T,mother,1,0,no,no,yes,no,4,2,3,10
GP,18,U,T,other,1,0,no,no,yes,no,3,4,4,10
GP,17,U,A,mother,1,0,no,no,yes,yes,4,5,4,11
GP,17,U,A,mother,1,0,no,no,yes,no,4,4,4,13
GP,18,R,T,mother,4,0,no,yes,no,no,5,2,2,17
GP,18,U,T,mother,2,0,yes,no,yes,no,5,4,4,12
GP,17,U,T,mother,2,0,no,yes,yes,no,5,4,5,12
GP,18,U,T,mother,2,0,no,no,yes,yes,4,3,1,12
GP,17,U,T,father,2,0,no,no,yes,no,4,3,3,12
GP,18,U,T,mother,3,0,no,yes,yes,no,4,3,3,18
GP,17,U,T,mother,3,0,no,yes,yes,no,4,3,3,13
GP,18,U,T,mother,3,0,no,no,yes,no,4,2,4,14
GP,18,U,A,mother,2,0,no,yes,yes,no,5,4,3,17
GP,18,U,T,mother,2,0,no,yes,yes,yes,4,3,2,15
GP,17,U,T,mother,3,0,no,yes,yes,no,4,2,2,17
GP,17,R,T,mother,4,0,no,yes,no,no,3,1,2,18
GP,18,R,T,mother,3,0,no,yes,yes,no,5,4,2,14
GP,17,U,T,mother,1,0,no,yes,yes,no,4,4,3,14
GP,19,U,T,other,2,0,no,yes,yes,no,2,3,4,14
GP,18,U,T,other,2,0,no,yes,yes,yes,4,4,5,13
GP,18,U,T,father,4,0,no,yes,yes,no,4,3,3,16
GP,18,U,T,mother,1,0,no,yes,yes,yes,1,4,2,18
GP,18,U,A,mother,2,0,no,yes,yes,yes,4,2,4,14
GP,17,U,T,father,1,0,no,no,yes,no,4,1,1,12
GP,17,R,T,mother,3,0,no,yes,yes,no,5,3,4,7
GP,17,U,T,mother,3,0,no,yes,yes,no,4,3,3,16
GP,17,U,T,father,4,0,no,yes,yes,no,5,2,2,18
GP,19,R,T,mother,3,1,no,no,yes,yes,4,3,1,9
GP,20,U,A,other,1,2,no,no,no,no,5,5,3,14
GP,19,R,T,father,2,0,no,no,no,yes,4,5,3,10
GP,18,U,T,mother,2,0,yes,yes,no,yes,3,4,4,10
GP,18,U,T,mother,2,0,no,yes,yes,no,5,3,3,12
GP,17,U,T,father,2,0,no,no,yes,yes,4,2,1,11
GP,17,R,T,mother,1,0,no,no,yes,no,4,4,4,15
GP,18,U,T,mother,3,0,no,yes,yes,yes,4,3,4,14
GP,18,U,T,mother,1,0,no,yes,yes,no,3,2,4,12
GP,17,R,T,father,3,0,no,yes,yes,no,4,3,4,15
GP,18,U,T,father,2,0,no,yes,yes,no,4,1,4,11
GP,19,U,T,mother,2,0,no,yes,yes,yes,5,4,4,11
GP,18,U,T,mother,2,0,no,yes,yes,no,4,4,4,12
GP,18,U,T,mother,1,0,no,yes,yes,yes,5,4,4,11
GP,17,U,T,mother,1,0,no,no,yes,no,5,3,4,14
GP,17,U,A,mother,2,0,no,yes,yes,yes,5,2,2,15
GP,17,U,A,mother,2,0,yes,yes,yes,no,5,3,3,12
GP,17,U,T,father,2,0,no,no,yes,no,4,2,3,11
GP,18,U,T,father,1,0,no,yes,yes,no,4,2,5,8
GP,19,U,T,other,3,0,no,no,no,yes,1,5,5,10
GP,19,U,A,other,2,2,no,yes,yes,yes,5,3,4,8
GP,18,U,T,mother,1,0,no,yes,yes,yes,4,3,5,10
GP,17,U,T,mother,2,0,no,yes,no,yes,4,2,2,14
GP,17,R,T,mother,3,0,no,yes,yes,no,3,3,2,11
GP,17,U,T,father,3,0,no,yes,yes,no,3,4,3,17
GP,17,U,T,father,3,0,no,no,yes,no,3,3,3,14
GP,18,U,T,mother,3,0,no,no,yes,no,4,5,5,14
GP,18,U,T,mother,3,0,no,no,yes,no,4,3,3,13
GP,17,U,T,mother,1,0,no,no,yes,no,4,3,5,17
GP,17,R,T,mother,1,0,no,yes,yes,no,4,4,5,11
GP,17,U,T,mother,3,0,no,yes,yes,no,5,4,4,13
GP,17,U,T,mother,3,0,no,yes,yes,yes,4,3,3,15
GP,17,U,T,mother,1,0,no,yes,yes,no,4,2,5,11
GP,18,U,T,mother,4,0,no,yes,yes,no,4,5,5,11
GP,19,R,T,other,1,0,no,yes,no,yes,5,3,4,11
GP,18,U,T,mother,2,0,no,no,no,yes,4,2,5,10
GP,17,R,T,father,3,0,no,yes,yes,yes,4,4,3,15
GP,18,U,T,mother,1,0,no,no,yes,no,5,4,2,15
GP,18,U,T,mother,2,0,no,no,yes,no,5,3,4,10
GP,18,U,T,other,2,0,no,no,yes,yes,4,3,3,10
GP,18,R,T,mother,4,0,no,no,no,no,4,4,4,14
GP,17,U,T,mother,3,0,no,no,yes,no,4,4,5,11
GP,17,U,T,mother,2,0,no,yes,yes,yes,4,3,2,12
GP,18,U,T,mother,4,0,no,yes,yes,no,5,3,3,14
GP,17,R,A,mother,2,0,no,yes,yes,no,4,3,3,14
GP,18,U,T,father,2,0,no,yes,yes,no,4,3,3,12
GP,18,U,T,mother,2,0,no,no,yes,yes,4,3,3,16
GP,17,U,A,father,2,0,no,yes,yes,yes,3,3,1,10
GP,18,U,T,mother,3,0,no,yes,yes,no,4,3,3,11
GP,18,U,T,mother,3,0,no,no,yes,yes,5,4,3,14
GP,18,R,T,mother,3,0,no,no,yes,yes,5,3,2,15
GP,18,U,T,mother,3,0,no,yes,yes,yes,5,4,5,14
GP,17,U,T,mother,3,0,no,yes,yes,yes,4,4,3,11
GP,17,U,T,mother,2,0,no,yes,yes,yes,4,3,4,12
GP,17,U,T,mother,2,0,no,yes,yes,no,4,3,5,12
GP,19,U,A,other,1,1,no,no,yes,no,2,2,3,10
GP,17,U,T,mother,1,1,no,yes,yes,yes,4,1,2,10
GP,21,U,T,other,3,2,no,no,yes,no,3,3,2,9
GP,18,U,T,mother,2,0,no,yes,yes,no,4,4,4,9
GP,18,U,A,other,2,0,no,no,yes,yes,4,3,5,13
GP,17,U,T,mother,2,0,no,yes,yes,no,4,3,4,13
GP,17,U,A,mother,3,0,no,yes,yes,no,4,4,2,12
